,Step,Average reward
197,397293.0,0.30083333333333334
198,399294.0,0.2458333333333333
199,401295.0,0.26583333333333337
200,403296.0,0.32916666666666666
201,405303.0,0.30416666666666664
202,407323.0,0.23333333333333334
203,409323.0,0.29166666666666663
204,411332.0,0.33749999999999997
205,413356.0,0.20416666666666666
206,415357.0,0.26666666666666666
207,417359.0,0.375
208,419371.0,0.2958333333333333
209,421371.0,0.25
210,423371.0,0.2975
211,425371.0,0.20833333333333334
212,427382.0,0.41666666666666663
213,429383.0,0.4375
214,431383.0,0.2708333333333333
215,433386.0,0.18916666666666668
216,435386.0,0.3249999999999999
217,437388.0,0.28083333333333327
218,439401.0,0.35750000000000004
219,441404.0,0.17
220,443408.0,0.29999999999999993
221,445409.0,0.36
222,447413.0,0.25416666666666665
223,449413.0,0.3291666666666666
224,451414.0,0.37916666666666665
225,453415.0,0.23333333333333334
226,455417.0,0.3058333333333333
227,457419.0,0.3
228,459419.0,0.30416666666666664
229,461421.0,0.31666666666666665
230,463426.0,0.2416666666666667
231,465426.0,0.2833333333333333
232,467426.0,0.24333333333333335
233,469427.0,0.4208333333333333
234,471428.0,0.375
235,473428.0,0.35583333333333333
236,475434.0,0.33499999999999996
237,477442.0,0.31666666666666665
238,479457.0,0.2958333333333333
239,481459.0,0.30833333333333324
240,483459.0,0.3333333333333333
241,485460.0,0.34750000000000003
242,487463.0,0.1766666666666667
243,489465.0,0.39583333333333337
244,491466.0,0.3575
245,493466.0,0.35416666666666663
246,495481.0,0.45
247,497481.0,0.385
248,499483.0,0.1975
249,501483.0,0.17083333333333334
250,503499.0,0.25333333333333335
251,505501.0,0.2241666666666667
252,507502.0,0.20416666666666666
253,509505.0,0.33333333333333326
254,511519.0,0.125
255,513529.0,0.2308333333333333
256,515532.0,0.2625
257,517535.0,0.22916666666666666
258,519535.0,0.33333333333333337
259,521550.0,0.24333333333333332
260,523554.0,0.23333333333333334
261,525556.0,0.2958333333333333
262,527592.0,0.29166666666666663
263,529593.0,0.26666666666666666
264,531596.0,0.13416666666666668
265,533598.0,0.20833333333333334
266,535601.0,0.18916666666666665
267,537603.0,0.18083333333333335
268,539609.0,0.2875
269,541615.0,0.1975
270,543627.0,0.25166666666666665
271,545635.0,0.2225
272,547635.0,0.32916666666666666
273,549635.0,0.3225
274,551635.0,0.2208333333333333
275,553635.0,0.25
276,555636.0,0.35416666666666663
277,557638.0,0.19916666666666666
278,559644.0,0.12083333333333332
279,561645.0,0.2033333333333333
280,563645.0,0.2791666666666667
281,565645.0,0.21666666666666665
282,567647.0,0.2125
283,569654.0,0.3333333333333333
284,571656.0,0.32916666666666666
285,573664.0,0.27499999999999997
286,575676.0,0.21666666666666665
287,577678.0,0.19166666666666668
288,579680.0,0.2708333333333333
289,581696.0,0.16666666666666669
290,583706.0,0.2041666666666667
291,585713.0,0.29166666666666663
292,587720.0,0.39583333333333326
293,589756.0,0.3958333333333333
294,591770.0,0.4625
295,593781.0,0.30416666666666664
296,595791.0,0.4291666666666667
297,597801.0,0.26249999999999996
298,599832.0,0.2875
299,601832.0,0.2958333333333333
300,603832.0,0.22916666666666669
301,605832.0,0.2958333333333333
302,607833.0,0.37916666666666665
303,609839.0,0.20416666666666666
304,611839.0,0.3
305,613840.0,0.32083333333333336
306,615841.0,0.3833333333333333
307,617841.0,0.24166666666666664
308,619841.0,0.225
309,621848.0,0.2541666666666667
310,623851.0,0.2625
311,625862.0,0.27499999999999997
312,627862.0,0.19583333333333333
313,629865.0,0.3291666666666667
314,631865.0,0.17083333333333334
315,633865.0,0.2666666666666667
316,635897.0,0.22916666666666669
317,637897.0,0.2666666666666667
318,639897.0,0.25
319,641898.0,0.1875
320,643909.0,0.2833333333333333
321,645909.0,0.22916666666666666
322,647910.0,0.19166666666666668
323,649923.0,0.24999999999999994
324,651923.0,0.2791666666666667
325,653927.0,0.12916666666666668
326,655930.0,0.25416666666666665
327,657930.0,0.17916666666666664
328,659939.0,0.2
329,661942.0,0.19583333333333336
330,663944.0,0.15
331,665946.0,0.3208333333333333
332,667957.0,0.2041666666666667
333,669962.0,0.2666666666666667
334,671962.0,0.16666666666666669
335,673969.0,0.2791666666666667
336,675976.0,0.17083333333333334
337,677991.0,0.21666666666666665
338,679991.0,0.30833333333333335
339,681993.0,0.35416666666666663
340,683993.0,0.15416666666666667
341,685994.0,0.18333333333333332
342,687998.0,0.19166666666666668
343,689998.0,0.13333333333333333
344,691998.0,0.19166666666666668
345,693999.0,0.21833333333333335
346,696004.0,0.33333333333333337
347,698005.0,0.22916666666666666
348,700010.0,0.16666666666666666
349,702015.0,0.32666666666666666
350,704016.0,0.13416666666666668
351,706019.0,0.20416666666666666
352,708019.0,0.14583333333333331
353,710019.0,0.2333333333333333
354,712028.0,0.14166666666666666
355,714030.0,0.17083333333333334
356,716032.0,0.2375
357,718033.0,0.08333333333333333
358,720034.0,0.2416666666666667
359,722037.0,0.17916666666666664
360,724039.0,0.325
361,726039.0,0.2
362,728040.0,0.2708333333333333
363,730046.0,0.25
364,732068.0,0.15416666666666665
365,734112.0,0.2583333333333333
366,736112.0,0.2416666666666667
367,738139.0,0.17083333333333334
368,740143.0,0.2166666666666667
369,742149.0,0.23333333333333334
370,744167.0,0.2
371,746167.0,0.125
372,748169.0,0.19166666666666665
