,Step,Average reward
0,2009.0,0.0125
1,4012.0,0.05
2,6019.0,0.18333333333333332
3,8034.0,0.1
4,10060.0,0.0
5,12066.0,0.05
6,14074.0,0.0
7,16075.0,0.125
8,18075.0,0.05
9,20081.0,0.05
10,22094.0,0.1
11,24095.0,0.0
12,26095.0,0.15
13,28097.0,0.05
14,30097.0,0.05
15,32133.0,0.1
16,34135.0,0.0
17,36136.0,0.041666666666666664
18,38147.0,0.1
19,40149.0,0.0
20,42159.0,0.05
21,44161.0,0.18083333333333335
22,46170.0,0.08333333333333333
23,48191.0,0.041666666666666664
24,50200.0,0.025
25,52217.0,0.0
26,54222.0,0.0
27,56224.0,0.075
28,58241.0,0.026666666666666665
29,60246.0,0.041666666666666664
30,62247.0,0.0
31,64285.0,0.05
32,66288.0,0.075
33,68295.0,0.15
34,70301.0,0.1
35,72325.0,0.0
36,74333.0,0.05
37,76365.0,0.05
38,78368.0,0.0
39,80368.0,0.0
40,82374.0,0.0
41,84390.0,0.05
42,86415.0,0.1
43,88418.0,0.075
44,90424.0,0.075
45,92425.0,0.15
46,94432.0,0.05
47,96442.0,0.09999999999999999
48,98458.0,0.0
49,100458.0,0.016666666666666666
50,102464.0,0.1125
51,104475.0,0.08666666666666667
52,106488.0,0.0
53,108488.0,0.1125
54,110496.0,0.07083333333333333
55,112496.0,0.075
56,114497.0,0.05
57,116501.0,0.025
58,118538.0,0.0
59,120545.0,0.0625
60,122549.0,0.06666666666666667
61,124557.0,0.0
62,126559.0,0.016666666666666666
63,128563.0,0.0
64,130565.0,0.05
65,132565.0,0.0
66,134584.0,0.075
67,136584.0,0.0
68,138585.0,0.016666666666666666
69,140588.0,0.15
70,142589.0,0.05
71,144591.0,0.11666666666666665
72,146602.0,0.0
73,148616.0,0.05
74,150620.0,0.15
75,152621.0,0.05
76,154635.0,0.1
77,156651.0,0.1
78,158660.0,0.0
79,160682.0,0.0
80,162693.0,0.0
81,164693.0,0.075
82,166694.0,0.05
83,168695.0,0.025
84,170701.0,0.06666666666666667
85,172713.0,0.06666666666666667
86,174713.0,0.05
87,176714.0,0.125
88,178725.0,0.1
89,180728.0,0.05833333333333333
90,182730.0,0.06666666666666667
91,184745.0,0.15
92,186756.0,0.0
93,188756.0,0.05
94,190762.0,0.0
95,192803.0,0.1125
96,194808.0,0.05
97,196811.0,0.18333333333333332
98,198825.0,0.05833333333333333
99,200829.0,0.075
100,202857.0,0.0
101,204859.0,0.025
102,206870.0,0.05
103,208871.0,0.0875
104,210877.0,0.15833333333333333
105,212877.0,0.1
106,214885.0,0.0
107,216887.0,0.05
108,218905.0,0.025
109,220947.0,0.025
110,222951.0,0.075
111,224982.0,0.05
112,226988.0,0.0
113,229006.0,0.0
114,231008.0,0.025
115,233014.0,0.075
116,235022.0,0.0
117,237043.0,0.075
118,239043.0,0.07916666666666666
119,241047.0,0.041666666666666664
120,243050.0,0.14166666666666666
121,245059.0,0.05
122,247062.0,0.11666666666666665
123,249065.0,0.05
124,251072.0,0.05
125,253092.0,0.0375
126,255094.0,0.0
127,257095.0,0.1
128,259095.0,0.05
129,261096.0,0.05
130,263101.0,0.025
131,265104.0,0.0
132,267104.0,0.025
133,269106.0,0.1
134,271125.0,0.05
135,273127.0,0.0
136,275152.0,0.075
137,277169.0,0.05
138,279174.0,0.09166666666666666
139,281175.0,0.05
140,283177.0,0.05
141,285183.0,0.05
142,287183.0,0.0
143,289188.0,0.0
144,291188.0,0.15
145,293193.0,0.09583333333333331
146,295197.0,0.16964285714285715
147,297205.0,0.01
148,299219.0,0.05
149,301235.0,0.12916666666666668
150,303251.0,0.05
151,305258.0,0.05
152,307275.0,0.175
153,309276.0,0.05
